"V1","fit","lwr","upr"
2018,1253.69273934926,376.834516569069,2130.55096212944
2019,1253.69273934926,376.834516569069,2130.55096212944
2020,1253.69273934926,376.834516569069,2130.55096212944
2021,1255.14313130234,377.872974866183,2132.41328773849
2022,1255.14313130234,377.872974866183,2132.41328773849
2023,1256.55389221331,378.881362498746,2134.22642192788
2024,1256.55389221331,378.881362498746,2134.22642192788
2025,1257.9259883855,379.860511589268,2135.99146518174
2026,1188.78107174451,328.510784786215,2049.05135870281
2027,1188.78107174451,328.510784786215,2049.05135870281
2028,1188.78107174451,328.510784786215,2049.05135870281
2029,1144.70384437073,293.570566276007,1995.83712246544
2030,1144.70384437073,293.570566276007,1995.83712246544
2031,1144.70384437073,293.570566276007,1995.83712246544
2032,1144.70384437073,293.570566276007,1995.83712246544
2033,1090.59442757403,248.230230845958,1932.95862430211
2034,1090.59442757403,248.230230845958,1932.95862430211
2035,1090.59442757403,248.230230845958,1932.95862430211
2036,1090.59442757403,248.230230845958,1932.95862430211
2037,1061.44199087684,222.655978851212,1900.22800290246
2038,1061.44199087684,222.655978851212,1900.22800290246
2039,1061.44199087684,222.655978851212,1900.22800290246
2040,1061.44199087684,222.655978851212,1900.22800290246
2041,1033.23335127476,197.132395114927,1869.33430743458
2042,1033.23335127476,197.132395114927,1869.33430743458
2043,1033.23335127476,197.132395114927,1869.33430743458
2044,1033.23335127476,197.132395114927,1869.33430743458
2045,1005.94603777599,171.707930229364,1840.18414532262
2046,1005.94603777599,171.707930229364,1840.18414532262
2047,1005.94603777599,171.707930229364,1840.18414532262
2048,1005.94603777599,171.707930229364,1840.18414532262
2049,979.557521234029,146.42924348814,1812.68579897992
2050,979.557521234029,146.42924348814,1812.68579897992
2051,979.557521234029,146.42924348814,1812.68579897992
2052,979.557521234029,146.42924348814,1812.68579897992
2053,979.557521234029,146.42924348814,1812.68579897992
2054,954.045267297077,121.340774697379,1786.74975989677
2055,954.045267297077,121.340774697379,1786.74975989677
2056,954.045267297077,121.340774697379,1786.74975989677
2057,954.045267297077,121.340774697379,1786.74975989677
2058,954.045267297077,121.340774697379,1786.74975989677
2059,929.386785531774,96.4843958063916,1762.28917525716
2060,929.386785531774,96.4843958063916,1762.28917525716
2061,929.386785531774,96.4843958063916,1762.28917525716
2062,929.386785531774,96.4843958063916,1762.28917525716
2063,929.386785531774,96.4843958063916,1762.28917525716
2064,929.386785531774,96.4843958063916,1762.28917525716
2065,929.386785531774,96.4843958063916,1762.28917525716
2066,929.386785531774,96.4843958063916,1762.28917525716
2067,929.386785531774,96.4843958063916,1762.28917525716
2068,929.386785531774,96.4843958063916,1762.28917525716
